 98%|█████████▊| 393/400 [09:00<00:10,  1.44s/it]

 98%|█████████▊| 394/400 [09:02<00:08,  1.42s/it]

 99%|█████████▉| 395/400 [09:04<00:08,  1.68s/it]

 99%|█████████▉| 397/400 [09:07<00:04,  1.57s/it]
Epoch [396/400], Total Loss: 0.6642376072704792

100%|█████████▉| 398/400 [09:08<00:03,  1.51s/it]

100%|██████████| 400/400 [09:11<00:00,  1.38s/it]
Epoch [399/400], Total Loss: 0.6489155068993568
Epoch [400/400], Total Loss: 0.6796259470283985
(5846, 8)
train length :  4092 test length :  1754
1622
(4092, 8)
(1754, 8)
